cat,dof,'adf','adl','bfa','bfp','edl','fdl','fhl','gmax','gmed','gmin','grac','lg','mg','pb','pec','pl','plan','psoas','pt','pyr','qf','rf','sart','sm','sol','st','ta','tp','vi','vl','vm'
1,'HF',-0.027834899,-0.018829116,-0.02868287,-0.03071653,0,0,0,-0.002083689,0.000348554,0.001456767,-0.029274311,0,0,0,-0.009245564,0,0,0.003935756,0,0.000896679,-0.007143541,0.003742031,0.022829825,-0.027611998,0,-0.035822341,0,0,0,0,0
1,'HAd',0.003990984,0.0066489,-0.00063558,-0.001548459,0,0,0,-0.002845565,-0.007179742,-0.005218254,0.00584358,0,0,0,0.001783504,0,0,0.001548347,0,-0.008898295,-0.004060504,-0.001227458,0.014920416,0.001019405,0,-0.002623145,0,0,0,0,0
1,'HR',0.003157945,0.000670889,0.002124035,0.004283156,0,0,0,-0.008643569,-0.015055185,-0.015507685,0.00168802,0,0,0,0.000305691,0,0,-0.00128215,0,0.001198455,0.007721093,0.000336739,-0.001019162,-0.001814525,0,-0.002837084,0,0,0,0,0
1,'KE',0,0,0,-0.033802435,0.002147091,0,0,0,0,0,-0.028125364,-0.0079683,-0.008778953,0,0,0,-0.008528043,0,0,0,0,0.009775322,0,-0.00437198,0,-0.034225034,0,0,0.009102669,0.008852135,0.008996177
1,'KA',0,0,0,0.012414067,-0.005422977,0,0,0,0,0,-0.001405104,-0.004105987,0.001116559,0,0,0,-0.005144334,0,0,0,0,-0.004771203,0,-0.005108715,0,-0.006672177,0,0,-0.00326771,-0.001944106,-0.00710626
1,'AE',0,0,0,0,-0.009731983,0.001566068,0.004328204,0,0,0,0,0.00968244,0.01140175,0.001190071,0,0.000799603,0.0145902,0,0.000557959,0,0,0,0,0,0.010607969,0,-0.00867697,0.000287687,0,0,0
1,'AAd',0,0,0,0,-0.003332472,0.009956021,0.00143587,0,0,0,0,0.004402846,0.002849125,-0.002282577,0,-0.005968696,0.005072884,0,-0.002801703,0,0,0,0,0,0.004311412,0,-0.001902162,0.009734985,0,0,0
2,'HF',-0.02800614,-0.019058577,-0.028499351,-0.030830502,0,0,0,-0.001562728,0.001221945,0.002322455,-0.029236846,0,0,0,-0.009208785,0,0,0.004129966,0,0.000401787,-0.007983847,0.00381108,0.02300769,-0.027080322,0,-0.035129569,0,0,0,0,0
2,'HAd',0.003412848,0.00576598,0.000383196,-0.000518788,0,0,0,-0.001952386,-0.006774887,-0.005013871,0.006165224,0,0,0,0.001853808,0,0,0.001613184,0,-0.008579974,-0.004045033,-0.00082446,0.014968901,0.001549931,0,-0.001416698,0,0,0,0,0
2,'HR',0.003188494,0.000658686,0.0020774,0.004297345,0,0,0,-0.008201983,-0.01481108,-0.015671322,0.001667521,0,0,0,0.000302201,0,0,-0.001168261,0,0.001094508,0.007506614,0.000281215,-0.001111788,-0.001863109,0,-0.003242116,0,0,0,0,0
2,'KE',0,0,0,-0.034281276,0.001821168,0,0,0,0,0,-0.029684895,-0.008249468,-0.008756332,0,0,0,-0.008764576,0,0,0,0,0.008961069,0,-0.003997425,0,-0.033762305,0,0,0.008320021,0.008085606,0.008389066
2,'KA',0,0,0,0.012975584,-0.005360366,0,0,0,0,0,-0.001315074,-0.004338856,0.000999341,0,0,0,-0.005354408,0,0,0,0,-0.004666671,0,-0.005147205,0,-0.007733864,0,0,-0.003251703,-0.002003313,-0.006903503
2,'AE',0,0,0,0,-0.010040152,0.001625842,0.003951891,0,0,0,0,0.011185646,0.012848784,0.000898811,0,0.000354859,0.01531501,0,0.000131297,0,0,0,0,0,0.011615069,0,-0.009990425,5.70E-05,0,0,0
2,'AAd',0,0,0,0,-0.00309906,0.010005845,0.000876807,0,0,0,0,0.004557131,0.003121935,-0.002117974,0,-0.005907442,0.005024857,0,-0.002674386,0,0,0,0,0,0.004274313,0,-0.002186777,0.009731062,0,0,0
3,'HF',-0.028690847,-0.018827623,-0.029577588,-0.031502154,0,0,0,-0.001056334,0.002785531,0.004659411,-0.029294924,0,0,0,-0.009367644,0,0,0.004043873,0,0.001015326,-0.007815253,0.003290168,0.022727233,-0.027734408,0,-0.035872586,0,0,0,0,0
3,'HAd',0.003008622,0.005102398,0.000768134,-0.000197633,0,0,0,-0.002022597,-0.008152162,-0.006372168,0.006065416,0,0,0,0.001824869,0,0,0.001509289,0,-0.008014514,-0.003465702,-0.000377246,0.014953378,0.001351416,0,-0.001957489,0,0,0,0,0
3,'HR',0.003225469,0.000657005,0.002639838,0.005684895,0,0,0,-0.008986799,-0.014355625,-0.014975865,0.002286985,0,0,0,0.000316499,0,0,-0.001428492,0,0.001455165,0.008469238,0.000238197,-0.000920526,-0.001815603,0,-0.001397108,0,0,0,0,0
3,'KE',0,0,0,-0.033178549,0.002109409,0,0,0,0,0,-0.029429613,-0.008447998,-0.008891829,0,0,0,-0.008987661,0,0,0,0,0.00945024,0,-0.004185387,0,-0.034645951,0,0,0.008721168,0.008414704,0.008942287
3,'KA',0,0,0,0.013933359,-0.004582951,0,0,0,0,0,-0.001850567,-0.004564583,0.001135268,0,0,0,-0.005576499,0,0,0,0,-0.003198659,0,-0.005611922,0,-0.005406408,0,0,-0.001713477,-0.000410313,-0.005579042
3,'AE',0,0,0,0,-0.01040436,0.001714354,0.004070817,0,0,0,0,0.011519699,0.013228741,0.001103608,0,0.000253279,0.015583364,0,0.000102742,0,0,0,0,0,0.011980843,0,-0.010221968,4.49E-05,0,0,0
3,'AAd',0,0,0,0,-0.002778387,0.009639868,0.001271791,0,0,0,0,0.00405996,0.002534895,-0.003357867,0,-0.006137543,0.004649759,0,-0.003195644,0,0,0,0,0,0.003913186,0,-0.001969801,0.009554328,0,0,0
